symbol,company_name,sector,index
EBAY,eBay,Consumer Discretionary,RUSSELL1000
ECL,Ecolab,Materials,RUSSELL1000
EIX,Edison International,Utilities,RUSSELL1000
EW,Edwards Lifesciences,Health Care,RUSSELL1000
ELAN,Elanco,Health Care,RUSSELL1000
ESTC,Elastic NV,Information Technology,RUSSELL1000
EA,Electronic Arts,Communication Services,RUSSELL1000
ESI,Element Solutions,Materials,RUSSELL1000
ELV,Elevance Health,Health Care,RUSSELL1000
EME,Emcor,Industrials,RUSSELL1000
EMR,Emerson Electric,Industrials,RUSSELL1000
EHC,Encompass Health,Health Care,RUSSELL1000
ENOV,Enovis,Health Care,RUSSELL1000
ENPH,Enphase Energy,Information Technology,RUSSELL1000
ENTG,Entegris,Information Technology,RUSSELL1000
ETR,Entergy,Utilities,RUSSELL1000
NVST,Envista,Health Care,RUSSELL1000
EOG,EOG Resources,Energy,RUSSELL1000
EPAM,EPAM Systems,Information Technology,RUSSELL1000
EPR,EPR Properties,Real Estate,RUSSELL1000
EQT,EQT Corporation,Energy,RUSSELL1000
EFX,Equifax,Industrials,RUSSELL1000
EQIX,Equinix,Real Estate,RUSSELL1000
EQH,Equitable Holdings,Financials,RUSSELL1000
ELS,Equity Lifestyle Properties,Real Estate,RUSSELL1000
EQR,Equity Residential,Real Estate,RUSSELL1000
ESAB,ESAB,Industrials,RUSSELL1000
WTRG,Essential Utilities,Utilities,RUSSELL1000
ESS,Essex Property Trust,Real Estate,RUSSELL1000
EL,Estée Lauder Companies (The),Consumer Staples,RUSSELL1000
ETSY,Etsy,Consumer Discretionary,RUSSELL1000
EEFT,Euronet Worldwide,Financials,RUSSELL1000
EVR,Evercore,Financials,RUSSELL1000
EG,Everest Group,Financials,RUSSELL1000
EVRG,Evergy,Utilities,RUSSELL1000
ES,Eversource Energy,Utilities,RUSSELL1000
ECG,Everus Construction Group,Industrials,RUSSELL1000
EXAS,Exact Sciences,Health Care,RUSSELL1000
EXEL,Exelixis,Health Care,RUSSELL1000
EXC,Exelon,Utilities,RUSSELL1000
EXE,Expand Energy,Energy,RUSSELL1000
EXPE,Expedia Group,Consumer Discretionary,RUSSELL1000
EXPD,Expeditors International,Industrials,RUSSELL1000
EXR,Extra Space Storage,Real Estate,RUSSELL1000
XOM,ExxonMobil,Energy,RUSSELL1000
FFIV,"F5, Inc.",Information Technology,RUSSELL1000
FDS,FactSet,Financials,RUSSELL1000
FICO,Fair Isaac,Information Technology,RUSSELL1000
FAST,Fastenal,Industrials,RUSSELL1000
FRT,Federal Realty Investment Trust,Real Estate,RUSSELL1000
FDX,FedEx,Industrials,RUSSELL1000
FERG,Ferguson Enterprises,Industrials,RUSSELL1000
FNF,Fidelity National Financial,Financials,RUSSELL1000
FIS,Fidelity National Information Services,Financials,RUSSELL1000
FITB,Fifth Third Bancorp,Financials,RUSSELL1000
FAF,First American Financial Corporation,Financials,RUSSELL1000
FCNCA,First Citizens BancShares,Financials,RUSSELL1000
FHB,"First Hawaiian, Inc.",Financials,RUSSELL1000
FHN,First Horizon Corporation,Financials,RUSSELL1000
FR,First Industrial Realty Trust,Real Estate,RUSSELL1000
FSLR,First Solar,Information Technology,RUSSELL1000
FE,FirstEnergy,Utilities,RUSSELL1000
FI,Fiserv,Financials,RUSSELL1000
FIVE,Five Below,Consumer Discretionary,RUSSELL1000
FIVN,Five9,Information Technology,RUSSELL1000
FND,Floor & Decor,Consumer Discretionary,RUSSELL1000
FLO,Flowers Foods,Consumer Staples,RUSSELL1000
FLS,Flowserve,Industrials,RUSSELL1000
FMC,FMC Corporation,Materials,RUSSELL1000
FNB,FNB Corporation,Financials,RUSSELL1000
F,Ford Motor Company,Consumer Discretionary,RUSSELL1000
FTNT,Fortinet,Information Technology,RUSSELL1000
FTV,Fortive,Industrials,RUSSELL1000
FTRE,Fortrea,Health Care,RUSSELL1000
FBIN,Fortune Brands Innovations,Industrials,RUSSELL1000
FOXA,Fox Corporation (Class A),Communication Services,RUSSELL1000
FOX,Fox Corporation (Class B),Communication Services,RUSSELL1000
BEN,Franklin Templeton Investments,Financials,RUSSELL1000
FCX,Freeport-McMoRan,Materials,RUSSELL1000
FRPT,Freshpet,Consumer Staples,RUSSELL1000
FYBR,Frontier Communications,Communication Services,RUSSELL1000
CFR,Frost Bank,Financials,RUSSELL1000
FCN,FTI Consulting,Industrials,RUSSELL1000
GME,GameStop,Consumer Discretionary,RUSSELL1000
GLPI,Gaming and Leisure Properties,Real Estate,RUSSELL1000
GAP,Gap Inc.,Consumer Discretionary,RUSSELL1000
GRMN,Garmin,Consumer Discretionary,RUSSELL1000
IT,Gartner,Information Technology,RUSSELL1000
GTES,Gates Corporation,Industrials,RUSSELL1000
GE,GE Aerospace,Industrials,RUSSELL1000
GEHC,GE HealthCare,Health Care,RUSSELL1000
GEV,GE Vernova,Industrials,RUSSELL1000
GEN,Gen Digital,Information Technology,RUSSELL1000
GNRC,Generac,Industrials,RUSSELL1000
GD,General Dynamics,Industrials,RUSSELL1000
GIS,General Mills,Consumer Staples,RUSSELL1000
GM,General Motors,Consumer Discretionary,RUSSELL1000
G,Genpact,Information Technology,RUSSELL1000
GNTX,Gentex,Consumer Discretionary,RUSSELL1000
GPC,Genuine Parts Company,Consumer Discretionary,RUSSELL1000
GILD,Gilead Sciences,Health Care,RUSSELL1000
GTLB,GitLab,Information Technology,RUSSELL1000
GPN,Global Payments,Financials,RUSSELL1000
GFS,GlobalFoundries,Information Technology,RUSSELL1000
GLOB,Globant,Information Technology,RUSSELL1000
GL,Globe Life,Financials,RUSSELL1000
GMED,Globus Medical,Health Care,RUSSELL1000
GDDY,GoDaddy,Information Technology,RUSSELL1000
GS,Goldman Sachs,Financials,RUSSELL1000
GGG,Graco Inc.,Industrials,RUSSELL1000
GRAL,"Grail, Inc.",Health Care,RUSSELL1000
LOPE,Grand Canyon Education,Consumer Discretionary,RUSSELL1000
GPK,Graphic Packaging,Materials,RUSSELL1000
GO,Grocery Outlet,Consumer Staples,RUSSELL1000
GWRE,Guidewire Software,Information Technology,RUSSELL1000
GXO,GXO Logistics,Industrials,RUSSELL1000
HAL,Halliburton,Energy,RUSSELL1000
THG,Hanover Insurance,Financials,RUSSELL1000
HOG,Harley-Davidson,Consumer Discretionary,RUSSELL1000
HIG,Hartford (The),Financials,RUSSELL1000
HAS,Hasbro,Consumer Discretionary,RUSSELL1000
HAYW,Hayward Holdings,Industrials,RUSSELL1000
HCA,HCA Healthcare,Health Care,RUSSELL1000
HR,Healthcare Realty Trust,Real Estate,RUSSELL1000
DOC,Healthpeak Properties,Real Estate,RUSSELL1000
HEI.A,HEICO (Class A),Industrials,RUSSELL1000
HEI,HEICO (Common),Industrials,RUSSELL1000
JKHY,Jack Henry & Associates,Financials,RUSSELL1000
HSY,Hershey Company (The),Consumer Staples,RUSSELL1000
HES,Hess Corporation,Energy,RUSSELL1000
HPE,Hewlett Packard Enterprise,Information Technology,RUSSELL1000
HXL,Hexcel,Industrials,RUSSELL1000
DINO,HF Sinclair,Energy,RUSSELL1000
HIW,Highwoods Properties,Real Estate,RUSSELL1000
HLT,Hilton Worldwide,Consumer Discretionary,RUSSELL1000
HOLX,Hologic,Health Care,RUSSELL1000
HD,Home Depot (The),Consumer Discretionary,RUSSELL1000
HON,Honeywell,Industrials,RUSSELL1000
HRL,Hormel Foods,Consumer Staples,RUSSELL1000
HST,Host Hotels & Resorts,Real Estate,RUSSELL1000
HLI,Houlihan Lokey,Financials,RUSSELL1000
HHH,Howard Hughes Holdings,Real Estate,RUSSELL1000
HWM,Howmet Aerospace,Industrials,RUSSELL1000
HPQ,HP Inc.,Information Technology,RUSSELL1000
HUBB,Hubbell Incorporated,Industrials,RUSSELL1000
HUBS,HubSpot,Information Technology,RUSSELL1000
HUM,Humana,Health Care,RUSSELL1000
HBAN,Huntington Bancshares,Financials,RUSSELL1000
HII,Huntington Ingalls Industries,Industrials,RUSSELL1000
HUN,Huntsman Corporation,Materials,RUSSELL1000
H,Hyatt Hotels,Consumer Discretionary,RUSSELL1000
IAC,IAC Inc.,Communication Services,RUSSELL1000
IBM,IBM,Information Technology,RUSSELL1000
